"Carimbo de data/hora","1. A hemorragia puerperal é uma complicação de alta incidência de mortalidade materna. Dentre suas causas, pode-se citar a:","2. Qual das alternativas abaixo representa a melhor ação a ser incorporada na rotina das maternidades, com intuito de se prevenir a hemorragia puerperal após um parto vaginal?","3. No que se refere ao manejo da hemorragia pós-parto, é correto afirmar:","4.  Em relação ao índice de choque (IC) na hemorragia pós-parto, pode-se afirmar:","5. No que se refere ao manejo medicamentoso da atonia uterina, pode-se afirmar:","6. A droga rotineiramente administrada imediatamente no pós parto para controlar a atonia uterina e a hemorragia pós parto é a:","7. No que se refere à classificação de risco para hemorragia pós-parto, qual a melhor alternativa?","8. Em relação ao uso do traje antichoque não pneumático (TAN), pode-se afirmar:","9.  Paciente pós-parto cesariana apresenta quadro de sangramento vaginal aumentado por hipotonia uterina. No momento está consciente, mas um pouco agitada, pálida e sudoréica. A pressão arterial está 90 a 60 mmHg e a frequência cardíaca 128 bpm. Qual das alternativas abaixo melhor representa o estado hemodinâmico da paciente?","10. São causas de hemorragias pós parto, exceto:","Profissão/Especialidade"
"2023/08/24 10:53:48 AM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","d) Choque hipovolêmico grave.","Via de parto","Enfermeiro"
"2023/08/24 3:11:14 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","c) O valor do IC ≤ 0,7 parece associar-se à necessidade de transfusão de hemocomponentes.","d) O misoprostol é um medicamento de terceira linha no manejo da atonia uterina e seu pico de ação ocorre em menos de 5 minutos após sua administração via retal.","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","c) O TAN deve ser utilizado por no máximo 24 horas, pelo risco de isquemia de membros inferiores","d) Choque hipovolêmico grave.","Via de parto","Enfermeiro Obstetra"
"2023/08/24 3:11:44 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","b) O IC é um marcador clínico, da repercussão hemodinâmica, mais tardia do que a pressão arterial.","d) O misoprostol é um medicamento de terceira linha no manejo da atonia uterina e seu pico de ação ocorre em menos de 5 minutos após sua administração via retal.","d) Ocitocina","c)As gestantes de médio e alto riscos para hemorragia pós-parto devem ter acesso venoso no momento do parto com cateter intravenoso jelco 20","d) O TAN é o principal componente do tratamento definitivo da hemorragia pós-parto.","c) Choque hipovolêmico moderado.","Atonia uterina","Técnico de Enfermagem"
"2023/08/24 3:12:07 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","c) O TAN deve ser utilizado por no máximo 24 horas, pelo risco de isquemia de membros inferiores","c) Choque hipovolêmico moderado.","Via de parto","Enfermeiro Obstetra"
"2023/08/24 3:14:15 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","d)O valor do IC ≥ 0,9 é considerado normal e indica estabilidade hemodinâmica no momento.","d) O misoprostol é um medicamento de terceira linha no manejo da atonia uterina e seu pico de ação ocorre em menos de 5 minutos após sua administração via retal.","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","d) O TAN é o principal componente do tratamento definitivo da hemorragia pós-parto.","c) Choque hipovolêmico moderado.","Atonia uterina","Técnico de Enfermagem"
"2023/08/24 3:14:46 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","d) O misoprostol é um medicamento de terceira linha no manejo da atonia uterina e seu pico de ação ocorre em menos de 5 minutos após sua administração via retal.","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","b) O TAN deve ser retirado assim que o sangramento for inferior a 75 ml por hora.","d) Choque hipovolêmico grave.","Via de parto","Técnico de Enfermagem"
"2023/08/24 3:15:15 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","c) Choque hipovolêmico moderado.","Via de parto","Enfermeiro"
"2023/08/24 3:15:32 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","b) A ocitocina venosa é droga de primeira linha no tratamento da atonia, mas pode associar-se a quadros de isquemia miocárdica","d) Ocitocina","b) Após um episódio de hemorragia pós-parto, a monitorizaçã o da paciente pode ser realizada na enfermaria à semelhança das pacientes de risco habitual","a) O TAN deve ser removido de forma gradual a partir do segmento número 1.","b) Choque hipovolêmico leve.","Trauma","Enfermeiro"
"2023/08/24 3:16:20 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","a) O IC é obtido dividindo-se o valor da frequência cardíaca materna pelo da pressão arterial sistólica.","d) O misoprostol é um medicamento de terceira linha no manejo da atonia uterina e seu pico de ação ocorre em menos de 5 minutos após sua administração via retal.","d) Ocitocina","b) Após um episódio de hemorragia pós-parto, a monitorizaçã o da paciente pode ser realizada na enfermaria à semelhança das pacientes de risco habitual","b) O TAN deve ser retirado assim que o sangramento for inferior a 75 ml por hora.","d) Choque hipovolêmico grave.","Via de parto","Técnico de Enfermagem"
"2023/08/24 3:17:06 PM GMT-3","c) Atonia uterina","b) Administração de 10 UI (duas ampolas) de ocitocina, intramuscular","c)O controle rápido do foco do sangramento é a medida mais eficaz na abordagem da paciente com quadro de choque hemorrágico","b) O IC é um marcador clínico, da repercussão hemodinâmica, mais tardia do que a pressão arterial.","a) A metilergometrina é considerada uterotônico seguro nos casos de sangramento associados a distúrbios hipertensivos, como a pré-eclâmpsia.","d) Ocitocina","d)Gestantes com quadro de cesariana prévia e placenta localizada na parede uterina anterior são consideradas de alto risco para acretismo placentário","c) O TAN deve ser utilizado por no máximo 24 horas, pelo risco de isquemia de membros inferiores","c) Choque hipovolêmico moderado.","Via de parto","Enfermeiro"
